uuid,issuer_rfc,receiver_rfc,issue_date,subtotal,iva,total,concepto_text,uso_cfdi,forma_pago,metodo_pago,status
DD1CA267-530D-DDA6-C8D0-F9E5991965EA,LAI101206479,TIN091214KL3,2025-01-14,63159.9,10105.58,73265.48,Discos de corte,G03,03,PPD,vigente
4721194B-C8A4-AE21-D9F8-50E913AD3EAD,JPY870826UGV,TIN091214KL3,2025-01-14,96190,15390.4,111580.4,Placa de acero A36,G03,03,PPD,vigente
3DE54EE2-A655-596C-2528-D32DA60C2BED,TIN091214KL3,QSB920810FY7,2025-01-14,115322.61,18451.62,133774.23,Corte y doblez,G01,03,PPD,vigente
A151ED02-2F09-8F4D-A43F-683AA43101E4,TIN091214KL3,BNT021022VED,2025-01-15,314311.16,50289.79,364600.95,Corte y doblez,G01,03,PPD,vigente
4185300D-971D-F5FD-B389-50CE9FBC879E,DGN090812Y08,TIN091214KL3,2025-01-17,72007.8,11521.25,83529.05,Guantes de carnaza,G03,03,PUE,vigente
0C8D51D2-1673-AEFB-EB9E-54E054C3B22E,HTX0701065UO,TIN091214KL3,2025-01-17,80129.9,12820.78,92950.68,Flete foráneo,G03,03,PUE,vigente
F6A9E3E3-B62B-CCB1-4956-0C3685609E8A,DZI910804SQ0,TIN091214KL3,2025-01-20,11347.8,1815.65,13163.45,Barra redonda 1018,G03,03,PUE,vigente
D463C183-A231-7211-8578-B1C6F7EBC69A,DZI910804SQ0,TIN091214KL3,2025-01-21,14192.4,2270.78,16463.18,Lámina de acero cal. 14,G03,03,PPD,vigente
19E9E3A4-18DC-CEB6-84FC-FCB0F5E90352,FQZ88060892H,TIN091214KL3,2025-01-21,85692.4,13710.78,99403.18,Lámina de acero cal. 14,G03,03,PPD,vigente
489AC27E-6281-03F0-1D9F-FF257E63F654,TIN091214KL3,IHL120323PQ0,2025-01-21,69609.26,11137.48,80746.74,Corte y doblez,G01,03,PPD,vigente
2737F345-3886-29FF-B2A0-F778809D6444,BTN8908152SD,TIN091214KL3,2025-01-22,101749.9,16279.98,118029.88,Bandas industriales,G03,03,PPD,vigente
DFCF338C-DEC5-6DC3-AD96-8213F0A9B97F,YMF930303K2S,TIN091214KL3,2025-01-22,7740.5,1238.48,8978.98,Solvente industrial,G03,03,PUE,vigente
4818B004-B0A4-F557-3381-001FA3FF8FD2,FNI920522YRY,TIN091214KL3,2025-01-24,104179.9,16668.78,120848.68,Bandas industriales,G03,03,PPD,vigente
EBD14B0C-C7F4-F4F9-8222-1AD3ECA391D4,BGD030823RBW,TIN091214KL3,2025-01-27,140977.8,22556.45,163534.25,Barra redonda 1018,G03,03,PUE,vigente
83D0BAE7-7C2C-FBCF-0770-D18FC9160147,ZUX97062289Q,TIN091214KL3,2025-01-27,13560.5,2169.68,15730.18,Renta de nave industrial,G03,03,PUE,vigente
0E378B07-CC53-5C3E-52BB-530D486FAC8F,TIN091214KL3,YSD241219IB6,2025-01-27,328560.87,52569.74,381130.61,Maquinado de piezas,G01,03,PPD,vigente
1EDBBE71-DE2A-2DDF-EE24-9B726AA12ABD,FQZ88060892H,TIN091214KL3,2025-01-29,101452.4,16232.38,117684.78,Tubo estructural,G03,03,PUE,vigente
892FCA69-8E20-17E1-50C4-CB4BAD9E5C1E,FNI920522YRY,TIN091214KL3,2025-01-29,188312.4,30129.98,218442.38,Válvulas neumáticas,G03,03,PPD,vigente
4FE5C13B-A5E8-C198-3C10-316D3F63A065,TIN091214KL3,ZZR890918KKF,2025-01-29,278046.4,44487.42,322533.82,Maquinado de piezas,G01,03,PPD,vigente
1CEB08FE-F2DE-B798-B31A-25B55FECAA6E,TIN091214KL3,MNM040801DOQ,2025-01-29,216529.09,34644.65,251173.74,Soldadura industrial,G01,03,PPD,vigente
E88188C3-788F-06ED-3C1E-919BEE5A4007,TIN091214KL3,YCA050705OHS,2025-01-31,58760.54,9401.69,68162.23,Soldadura industrial,G01,03,PPD,vigente
13B11E59-C85C-D714-7BF6-95524CBC9044,FBY870108HAF,TIN091214KL3,2025-02-03,76102.4,12176.38,88278.78,Flete foráneo,G03,03,PUE,vigente
C4072654-7F5F-61AA-AEE7-C7A586296FBE,DGN090812Y08,TIN091214KL3,2025-02-03,79399.9,12703.98,92103.88,Guantes de carnaza,G03,03,PPD,vigente
2D8CC973-43C1-136C-D013-B7A3F4A29332,JPY870826UGV,TIN091214KL3,2025-02-03,112322.4,17971.58,130293.98,Lámina de acero cal. 14,G03,03,PPD,vigente
2A3DD769-8DAC-210D-5EB3-8EF5B24070CA,YMF930303K2S,TIN091214KL3,2025-02-03,4550.5,728.08,5278.58,Guantes de carnaza,G03,03,PUE,vigente
C8497436-18B4-75B1-C12A-34F402A13629,TIN091214KL3,MAQ03062825L,2025-02-03,148592.49,23774.8,172367.29,Maquinado de piezas,G01,03,PPD,vigente
8C37E264-D03C-D20A-BAAE-EBF89A244525,TIN091214KL3,BNT021022VED,2025-02-03,166668.28,26666.92,193335.2,Soldadura industrial,G01,03,PPD,vigente
8DA22A39-50DB-8E34-938F-2B906C087D6C,TIN091214KL3,LSC21020236H,2025-02-03,230191.17,36830.59,267021.76,Maquinado de piezas,G01,03,PPD,vigente
0AB74B5D-FCD4-9681-CA09-7B17951B2503,SZC9707063JK,TIN091214KL3,2025-02-03,10257.29,1641.17,11898.46,Discos de corte,G03,03,PUE,vigente
953B0F1F-EA3E-072A-8F22-1604D46B7756,CZT910806Y6B,TIN091214KL3,2025-02-05,50709.9,8113.58,58823.48,Brocas HSS,G03,03,PPD,vigente
C7A2EE6F-D166-EB08-B073-6DD1F443864C,CRH230311CX7,TIN091214KL3,2025-02-05,138740,22198.4,160938.4,Servicios de limpieza,G03,03,PPD,vigente
B5DEF807-4A96-5478-A72B-DDDD511EEEB8,LIP121209QK9,TIN091214KL3,2025-02-06,61302.4,9808.38,71110.78,Bandas industriales,G03,03,PPD,vigente
1CCEC1EF-16EF-ACDF-9375-EE61EC94503E,BTN8908152SD,TIN091214KL3,2025-02-06,92767.8,14842.85,107610.65,Sellos hidráulicos,G03,03,PPD,vigente
E8334DA5-DE95-D695-3579-C1437AB99428,IXC940413YZC,TIN091214KL3,2025-02-07,19999.9,3199.98,23199.88,Solvente industrial,G03,03,PUE,vigente
9B47E639-4D25-51EB-AF95-BE79C971BF51,WWH110626S3K,TIN091214KL3,2025-02-07,13609.9,2177.58,15787.48,Lámina de acero cal. 14,G03,03,PPD,vigente
3B3F3800-A175-A9C3-D7B1-02A92332A50E,IXC940413YZC,TIN091214KL3,2025-02-10,51700,8272.0,59972.0,Discos de corte,G03,03,PUE,vigente
EDC3A1C3-2DEA-2D2D-086C-405FA879D8F8,LAI101206479,TIN091214KL3,2025-02-10,162992.4,26078.78,189071.18,Solvente industrial,G03,03,PUE,vigente
7B94A34D-E4AA-786D-9D17-D218FC3B0DE5,OSD160228AKR,TIN091214KL3,2025-02-10,139900,22384.0,162284.0,Tubo estructural,G03,03,PPD,vigente
CCEA5031-844E-250B-E684-390C923B7820,HQP910421HXF,TIN091214KL3,2025-02-10,57160,9145.6,66305.6,Asesoría fiscal,G03,03,PUE,vigente
6A7BE8B1-E3F3-42A8-F030-BFD4BE54898E,FQZ88060892H,TIN091214KL3,2025-02-10,63320,10131.2,73451.2,Tubo estructural,G03,03,PUE,vigente
B3EDD6ED-B089-4DE4-E626-7164D3616B3A,FQZ88060892H,TIN091214KL3,2025-02-10,84817.8,13570.85,98388.65,Placa de acero A36,G03,03,PPD,vigente
B646E2B1-7800-E27A-9ACE-63CCD89C83F6,SJP030817VDZ,TIN091214KL3,2025-02-10,81837.8,13094.05,94931.85,Electrodos 6013,G03,03,PUE,vigente
BDDF2416-A173-1ED8-78F2-961C3EC77A8F,DFP890325WQU,TIN091214KL3,2025-02-10,17089.9,2734.38,19824.28,Renta de nave industrial,G03,03,PUE,vigente
4CC6D67E-CDDB-3F9E-8130-0E684D45D885,TIN091214KL3,QPC951019FXZ,2025-02-10,274553.25,43928.52,318481.77,Corte y doblez,G01,03,PPD,vigente
E32A8787-1824-6315-AD49-E0727F843004,TIN091214KL3,HYZ031207YRR,2025-02-10,128616.68,20578.67,149195.35,Soldadura industrial,G01,03,PPD,vigente
BCA83A82-7899-7035-7DDF-8484F0C44ECB,TIN091214KL3,BNT021022VED,2025-02-11,336351.2,53816.19,390167.39,Corte y doblez,G01,03,PPD,vigente
9620BEE6-6406-FACE-53A5-E8508950DDD6,WGM241113MRL,TIN091214KL3,2025-02-12,25119.9,4019.18,29139.08,Electrodos 6013,G03,03,PUE,vigente
E2AE3F87-EE7C-A782-A7A3-1D2515956C42,GTT9311046XL,TIN091214KL3,2025-02-12,8279.9,1324.78,9604.68,Consultoría de procesos,G03,03,PUE,vigente
51589375-7D8F-2350-31C7-7A4464F8F226,DGQ240803D6V,TIN091214KL3,2025-02-12,17347.8,2775.65,20123.45,Discos de corte,G03,03,PUE,vigente
E68C1348-1046-E3DF-DDFE-F8494C485CFC,TIN091214KL3,BBL150807MF5,2025-02-12,153005.72,24480.92,177486.64,Corte y doblez,G01,03,PPD,vigente
FA2C9E79-2758-4F1A-239E-5593EC11A44D,IHV020423VE4,TIN091214KL3,2025-02-12,250000,40000.0,290000.0,Consultoría estratégica,G03,03,PPD,vigente
97867B12-1328-1726-64F4-34D6D1E91691,PMN121218LZJ,TIN091214KL3,2025-02-13,145669.9,23307.18,168977.08,Placa de acero A36,G03,03,PPD,vigente
9ABBE46B-B205-1CEC-C9F7-369FE4C1D210,DFP890325WQU,TIN091214KL3,2025-02-13,8917.8,1426.85,10344.65,Servicio de energía,G03,03,PUE,vigente
B3099E0D-B0AC-0677-D60F-8680A124FDB2,ILK110504O8G,TIN091214KL3,2025-02-14,119650.5,19144.08,138794.58,Barra redonda 1018,G03,03,PPD,vigente
D0E34B2B-1CA6-4C33-30D8-67CD038D5F5A,TIN091214KL3,QSB920810FY7,2025-02-14,85032.22,13605.16,98637.38,Maquinado de piezas,G01,03,PPD,vigente
21EBFAA9-1A2B-D69C-450F-69EEC2E79A98,LAI101206479,TIN091214KL3,2025-02-17,48882.4,7821.18,56703.58,Guantes de carnaza,G03,03,PPD,vigente
503BA8C3-CE83-0E27-C5EF-D6701F4D88CE,TIN091214KL3,MNM040801DOQ,2025-02-17,125707.67,20113.23,145820.9,Soldadura industrial,G01,03,PPD,vigente
4E39F65A-20DB-4294-DFAE-180393D797E7,IHV020423VE4,TIN091214KL3,2025-02-17,150000,24000.0,174000.0,Consultoría estratégica,G03,03,PPD,vigente
62874624-A433-1510-AD21-B4CCA9E8F0D8,BGD030823RBW,TIN091214KL3,2025-02-18,120720.5,19315.28,140035.78,Perfil PTR 2x2,G03,03,PUE,vigente
70F81DBA-2871-9B9B-DB8F-0E32EDEF5003,WGM241113MRL,TIN091214KL3,2025-02-20,38337.8,6134.05,44471.85,Discos de corte,G03,03,PPD,vigente
6DEC6BBD-F697-77A1-59FE-3D53624FEA4B,WGM241113MRL,TIN091214KL3,2025-02-21,17880,2860.8,20740.8,Solvente industrial,G03,03,PUE,vigente
D4A5A81E-6B38-2A0A-231D-260BB362CD55,ZLV900812OLD,TIN091214KL3,2025-02-21,159312.4,25489.98,184802.38,Solvente industrial,G03,03,PUE,vigente
80B57013-7F29-C9E7-5601-F6A534B6685D,TIN091214KL3,TVB051103QYM,2025-02-21,288711.03,46193.76,334904.79,Soldadura industrial,G01,03,PPD,vigente
C0CEF31B-D038-E153-C601-818B61FA01BA,WGM241113MRL,TIN091214KL3,2025-02-24,16342.4,2614.78,18957.18,Brocas HSS,G03,03,PUE,vigente
F91E5FCD-85EC-E729-D4DD-1B56435391B2,ZLV900812OLD,TIN091214KL3,2025-02-24,131719.9,21075.18,152795.08,Electrodos 6013,G03,03,PPD,vigente
C00C200C-4458-B006-332C-CE0A0E7DA698,BGD030823RBW,TIN091214KL3,2025-02-24,52250.5,8360.08,60610.58,Lámina de acero cal. 14,G03,03,PPD,vigente
17172654-3B99-7815-0219-A9C7BA23B07A,ZWS100912DOJ,TIN091214KL3,2025-02-24,23850.5,3816.08,27666.58,Servicios de limpieza,G03,03,PPD,vigente
701FB3EA-A1FE-9BC6-E29D-650A15B98C20,CRH230311CX7,TIN091214KL3,2025-02-24,153952.4,24632.38,178584.78,Servicios de limpieza,G03,03,PUE,vigente
1090DC9D-2B31-71DC-FA54-9893E476231A,TIN091214KL3,IHL120323PQ0,2025-02-24,306915.58,49106.49,356022.07,Soldadura industrial,G01,03,PPD,vigente
688B4CFB-7081-75FD-4648-BBE8F84CE7A9,TIN091214KL3,MNM040801DOQ,2025-02-24,103055.53,16488.88,119544.41,Soldadura industrial,G01,03,PPD,vigente
A92DCF4F-76F3-BA50-1830-208269BBA3C4,TIN091214KL3,QSB920810FY7,2025-02-25,223834.57,35813.53,259648.1,Soldadura industrial,G01,03,PPD,vigente
6545C030-A981-FA54-F121-E129B45C9A54,OSD160228AKR,TIN091214KL3,2025-02-26,190222.4,30435.58,220657.98,Lámina de acero cal. 14,G03,03,PPD,vigente
2CE6F908-CECE-A5D3-5EA9-09EF7257DCB6,JPY870826UGV,TIN091214KL3,2025-02-27,149539.9,23926.38,173466.28,Placa de acero A36,G03,03,PUE,vigente
05CF079E-A095-2C4D-F3BD-2348854BC8FA,LJA880717NNC,TIN091214KL3,2025-02-27,41317.8,6610.85,47928.65,Bandas industriales,G03,03,PUE,vigente
859F02BB-1EE2-6F39-EED4-DB8980104995,TIN091214KL3,MNM040801DOQ,2025-02-27,245550.42,39288.07,284838.49,Soldadura industrial,G01,03,PPD,vigente
302B0401-EFED-098B-979A-7368BD96BB0A,LPK240212P77,TIN091214KL3,2025-02-27,5247.95,839.67,6087.62,Flete local — carta porte anexa,G03,03,PPD,vigente
C28FA16B-0AA6-FCB9-C1BC-BE59D296A12D,UWP921026BTX,TIN091214KL3,2025-02-28,11729.9,1876.78,13606.68,Sellos hidráulicos,G03,03,PUE,vigente
C53F1DB3-D275-BD43-8451-7303E94D4FBE,WWH110626S3K,TIN091214KL3,2025-02-28,14199.9,2271.98,16471.88,Tubo estructural,G03,03,PPD,vigente
59AE7302-8AE3-297E-34E2-41421A354475,ILK110504O8G,TIN091214KL3,2025-02-28,50659.9,8105.58,58765.48,Barra redonda 1018,G03,03,PPD,vigente
0991946D-537C-64B0-89D5-AF23050BD848,TIN091214KL3,TVB051103QYM,2025-02-28,161533.93,25845.43,187379.36,Corte y doblez,G01,03,PPD,vigente
6589ADA1-345A-F934-B42A-2D939ABA0F15,IXC940413YZC,TIN091214KL3,2025-03-03,43407.8,6945.25,50353.05,Electrodos 6013,G03,03,PPD,vigente
DAAF7529-DEEF-F82A-0DD7-015869C165AE,ZLV900812OLD,TIN091214KL3,2025-03-03,193777.8,31004.45,224782.25,Solvente industrial,G03,03,PUE,vigente
B5CAA993-AACA-D101-F153-0F689215583A,BGD030823RBW,TIN091214KL3,2025-03-03,175909.9,28145.58,204055.48,Perfil PTR 2x2,G03,03,PPD,vigente
35F3DE4A-AC92-04B4-0306-A2580227B8D5,LIP121209QK9,TIN091214KL3,2025-03-03,165347.8,26455.65,191803.45,Sellos hidráulicos,G03,03,PUE,vigente
0BCFD0FC-E3A1-AF97-7785-2DDB55527A3C,ILK110504O8G,TIN091214KL3,2025-03-03,48690,7790.4,56480.4,Barra redonda 1018,G03,03,PPD,vigente
A5DD2836-E65F-A9FA-C38C-2EAFA8097A77,JPY870826UGV,TIN091214KL3,2025-03-03,62609.9,10017.58,72627.48,Placa de acero A36,G03,03,PUE,vigente
DF266424-7FCC-4456-20BC-2FA0FA801062,TIN091214KL3,YCA050705OHS,2025-03-03,152777.06,24444.33,177221.39,Soldadura industrial,G01,03,PPD,vigente
71FCF2E6-B3DD-7820-BD20-C36A270524CB,TIN091214KL3,LSC21020236H,2025-03-03,99797.98,15967.68,115765.66,Corte y doblez,G01,03,PPD,vigente
89D716EF-A62D-7221-A65D-958E936DD1A8,LIP121209QK9,TIN091214KL3,2025-03-04,107079.9,17132.78,124212.68,Bandas industriales,G03,03,PPD,vigente
2CAF3D2F-F026-A418-3D3F-BBEC697AE294,YMF930303K2S,TIN091214KL3,2025-03-06,5522.4,883.58,6405.98,Solvente industrial,G03,03,PUE,vigente
2B015723-0CF6-97A5-7603-C36CF1394E3C,PMN121218LZJ,TIN091214KL3,2025-03-07,63462.4,10153.98,73616.38,Lámina de acero cal. 14,G03,03,PPD,vigente
16DC5A6E-A789-0770-55EC-024AE64B9B37,ZLV900812OLD,TIN091214KL3,2025-03-07,172569.9,27611.18,200181.08,Electrodos 6013,G03,03,PUE,vigente
F168C605-CE1A-1669-9BBC-6CBC409CA8F2,DBU231227UKE,TIN091214KL3,2025-03-10,39289.9,6286.38,45576.28,Rodamientos SKF,G03,03,PPD,vigente
3B1D0181-9CC3-C1F5-9129-BC759B08E5A8,SJP030817VDZ,TIN091214KL3,2025-03-10,39619.9,6339.18,45959.08,Solvente industrial,G03,03,PUE,vigente
833D3DF1-5E11-A680-D501-6ADA189AC35D,TIN091214KL3,ONS8703145G7,2025-03-10,169255.93,27080.95,196336.88,Fabricación de estructura,G01,03,PPD,vigente
D28FCF68-C871-D7B3-8468-B74D85E3ADE5,WGM241113MRL,TIN091214KL3,2025-03-12,41460.5,6633.68,48094.18,Guantes de carnaza,G03,03,PUE,vigente
ECE9504B-03D7-F962-F804-43EEC3B8D179,SJP030817VDZ,TIN091214KL3,2025-03-12,37760.5,6041.68,43802.18,Discos de corte,G03,03,PUE,vigente
2F8D8DED-6C4C-450B-623A-D0FC93267D25,UWP921026BTX,TIN091214KL3,2025-03-14,16767.8,2682.85,19450.65,Válvulas neumáticas,G03,03,PUE,vigente
A616DDE4-B388-300A-3E20-718A0BB9A8F6,YMF930303K2S,TIN091214KL3,2025-03-14,8680,1388.8,10068.8,Guantes de carnaza,G03,03,PUE,vigente
87AD8B26-8EAA-5841-6AA0-426DF7C0D5F7,IXC940413YZC,TIN091214KL3,2025-03-17,45840,7334.4,53174.4,Solvente industrial,G03,03,PUE,vigente
EF0B743E-BEE0-4762-7168-BDEC4DA838B7,SJP030817VDZ,TIN091214KL3,2025-03-17,85082.4,13613.18,98695.58,Guantes de carnaza,G03,03,PPD,vigente
584CB0F7-48DE-D8BE-031E-EF965F71DCC4,DGQ240803D6V,TIN091214KL3,2025-03-17,21077.8,3372.45,24450.25,Brocas HSS,G03,03,PPD,vigente
946A95A6-F2E4-01AF-4702-1755F11CC0A4,TIN091214KL3,MAQ03062825L,2025-03-17,344510.15,55121.62,399631.77,Soldadura industrial,G01,03,PPD,vigente
B2AC4768-F122-4F43-C527-4F356DC56044,IHV020423VE4,TIN091214KL3,2025-03-17,150000,24000.0,174000.0,Consultoría estratégica,G03,03,PPD,vigente
AE46024D-51D0-5EF3-A918-83FC6772FE9F,ZLV900812OLD,TIN091214KL3,2025-03-18,134910.5,21585.68,156496.18,Discos de corte,G03,03,PUE,vigente
F5EA4128-854D-C3BF-61D8-5365BADA0C94,BTN8908152SD,TIN091214KL3,2025-03-19,105457.8,16873.25,122331.05,Bandas industriales,G03,03,PUE,vigente
F09E0302-B525-A4D9-83F0-23FD00F2BAA4,CRH230311CX7,TIN091214KL3,2025-03-19,165647.8,26503.65,192151.45,Asesoría fiscal,G03,03,PPD,vigente
8EF00DE1-FB4F-1972-5115-D7EE3B90908E,DGN090812Y08,TIN091214KL3,2025-03-20,82910,13265.6,96175.6,Electrodos 6013,G03,03,PPD,vigente
A8D791B6-B52C-4358-D4A8-B45A75D1D776,TIN091214KL3,YSD241219IB6,2025-03-20,50394.82,8063.17,58457.99,Corte y doblez,G01,03,PPD,vigente
BFEEB533-ACF5-9149-B1C9-D0DCA38CC35F,EOK870428F5T,TIN091214KL3,2025-03-21,48000,7680.0,55680.0,Servicios de gestión y enlace comercial,G03,03,PPD,vigente
F7FF88D4-B509-F08A-2C98-8BCA51397C06,OSD160228AKR,TIN091214KL3,2025-03-24,171077.8,27372.45,198450.25,Perfil PTR 2x2,G03,03,PPD,vigente
27A158A0-EFFF-A2F4-B5AE-329D77617D80,BGD030823RBW,TIN091214KL3,2025-03-24,146122.4,23379.58,169501.98,Lámina de acero cal. 14,G03,03,PPD,vigente
1D03C3D5-B862-ACC3-5489-9C37CFA9026B,DZI910804SQ0,TIN091214KL3,2025-03-24,7260,1161.6,8421.6,Placa de acero A36,G03,03,PPD,vigente
97A418B8-92D0-0319-20BD-14220B0B81DE,DZI910804SQ0,TIN091214KL3,2025-03-24,10487.8,1678.05,12165.85,Lámina de acero cal. 14,G03,03,PUE,vigente
3DE814AC-9CEA-B67B-BA82-854AC7E2A618,TIN091214KL3,MAQ03062825L,2025-03-24,347849.71,55655.95,403505.66,Maquinado de piezas,G01,03,PPD,vigente
CDB4ADAB-CA27-CD69-4226-4BA40775D778,TIN091214KL3,BBL150807MF5,2025-03-24,138176.31,22108.21,160284.52,Soldadura industrial,G01,03,PPD,vigente
D4A39A51-C481-EA69-F83B-F029B6AC2048,TIN091214KL3,BNT021022VED,2025-03-24,129857.28,20777.16,150634.44,Fabricación de estructura,G01,03,PPD,vigente
EAC97D37-B587-8D33-1D5B-D8B04027B283,EOK870428F5T,TIN091214KL3,2025-03-24,48000,7680.0,55680.0,Servicios de gestión y enlace comercial,G03,03,PPD,vigente
44E2A94B-34EC-5264-AD7D-6F8139A0F145,DBU231227UKE,TIN091214KL3,2025-03-25,47860.5,7657.68,55518.18,Bandas industriales,G03,03,PUE,vigente
D4E20134-389A-E4FD-80DD-B3862790E92F,TIN091214KL3,TJB001222W10,2025-03-25,76870.43,12299.27,89169.7,Fabricación de estructura,G01,03,PPD,vigente
1EE93260-3002-D831-3227-E8D89C60C81B,BGD030823RBW,TIN091214KL3,2025-03-26,130767.8,20922.85,151690.65,Lámina de acero cal. 14,G03,03,PPD,vigente
A33B3DFD-9048-65C6-F820-5AA7996F7E88,DZI910804SQ0,TIN091214KL3,2025-03-27,6090.5,974.48,7064.98,Barra redonda 1018,G03,03,PPD,vigente
8C662766-7922-B440-E0F1-E44CEFD1B588,GTT9311046XL,TIN091214KL3,2025-03-27,14340,2294.4,16634.4,Servicio de mantenimiento,G03,03,PPD,vigente
2F1DC121-7D02-4C6D-8BEA-75C1B86677AA,IXC940413YZC,TIN091214KL3,2025-03-28,42792.4,6846.78,49639.18,Electrodos 6013,G03,03,PUE,vigente
A9A2E9CD-7B6F-65DF-1D9D-1D80F47E3CA0,LPK240212P77,TIN091214KL3,2025-03-28,16549.72,2647.96,19197.68,Flete local — carta porte anexa,G03,03,PUE,vigente
9770A3DB-E9FA-97E2-5BD9-3609B297A782,OSD160228AKR,TIN091214KL3,2025-03-31,77679.9,12428.78,90108.68,Tubo estructural,G03,03,PPD,vigente
66D71D97-B193-C8B8-AE49-C0799BD0D4C7,HQP910421HXF,TIN091214KL3,2025-03-31,47130.5,7540.88,54671.38,Asesoría fiscal,G03,03,PPD,vigente
1DABB10A-BD10-F87C-6D0E-0597500D92A7,ZLV900812OLD,TIN091214KL3,2025-03-31,194872.4,31179.58,226051.98,Brocas HSS,G03,03,PUE,vigente
4A1A4219-61BB-A5FB-D510-8BC02F9E1DDB,DGQ240803D6V,TIN091214KL3,2025-03-31,17769.9,2843.18,20613.08,Electrodos 6013,G03,03,PUE,vigente
7C602399-B8F4-0E5E-F6BA-BCCC0ACFBD89,TIN091214KL3,BBL150807MF5,2025-04-01,271945.78,43511.32,315457.1,Maquinado de piezas,G01,03,PPD,vigente
FE8C9AAB-7E38-8A19-46F7-B20AC3C49506,DGQ240803D6V,TIN091214KL3,2025-04-02,16330.5,2612.88,18943.38,Discos de corte,G03,03,PPD,vigente
1AEC8B70-AC0E-7307-7DDC-AAF6AC95ADB1,TIN091214KL3,IHL120323PQ0,2025-04-02,44602.9,7136.46,51739.36,Corte y doblez,G01,03,PPD,vigente
7702BEBA-0623-FFBF-1E42-D2B800679B62,FNI920522YRY,TIN091214KL3,2025-04-03,196460.5,31433.68,227894.18,Sellos hidráulicos,G03,03,PUE,vigente
DCDA8CC1-8427-4378-B40D-8AEFA0BA6142,TIN091214KL3,QPC951019FXZ,2025-04-03,357122.76,57139.64,414262.4,Fabricación de estructura,G01,03,PPD,vigente
7796048F-B4B9-FB73-29DE-BCCC429E09BD,TIN091214KL3,HYZ031207YRR,2025-04-04,52910.41,8465.67,61376.08,Corte y doblez,G01,03,PPD,vigente
E07309DE-6A8F-7654-1552-87C70B961346,TIN091214KL3,QSB920810FY7,2025-04-04,343447.54,54951.61,398399.15,Soldadura industrial,G01,03,PPD,vigente
68A69E71-DF22-3246-E6FB-61D3FBA26C21,SZC9707063JK,TIN091214KL3,2025-04-04,18946.86,3031.5,21978.36,Electrodos 6013,G03,03,PUE,vigente
3283DAA4-E212-AB7C-9D36-1CB6BCC57BE0,UWP921026BTX,TIN091214KL3,2025-04-07,9947.8,1591.65,11539.45,Motor eléctrico 5HP,G03,03,PPD,vigente
